"System","Type","Name","SubName","Datatype","Description"
"UniEconomomy","companies","ClientNumber","","integer",""
"UniEconomomy","companies","CreatedAt","","string","Datetime in ISO format"
"UniEconomomy","companies","CreatedBy","","string",""
"UniEconomomy","companies","Deleted","","boolean",""
"UniEconomomy","companies","FileFlowEmail","","string",""
"UniEconomomy","companies","FileFlowOrgnrEmail","","string",""
"UniEconomomy","companies","ID","","integer",""
"UniEconomomy","companies","IsGlobalTemplate","","boolean",""
"UniEconomomy","companies","IsTemplate","","boolean",""
"UniEconomomy","companies","IsTest","","boolean",""
"UniEconomomy","companies","Key","","string",""
"UniEconomomy","companies","LastActivity","","string",""
"UniEconomomy","companies","MigrationVersion","","integer",""
"UniEconomomy","companies","Name","","string",""
"UniEconomomy","companies","OrganizationNumber","","string",""
"UniEconomomy","companies","StatusCode","","integer",""
"UniEconomomy","companies","UpdatedAt","","string",""
"UniEconomomy","companies","UpdatedBy","","string",""
"UniEconomomy","companies","WebHookSubscriberId","","string","Not documented in the API docs"
"UniEconomomy","contacts","Comment","","string",""
"UniEconomomy","contacts","CreatedAt","","string",""
"UniEconomomy","contacts","CreatedBy","","string",""
"UniEconomomy","contacts","Deleted","","boolean",""
"UniEconomomy","contacts","ID","","integer",""
"UniEconomomy","contacts","Info.CreatedAt","","string",""
"UniEconomomy","contacts","Info.CreatedBy","","string",""
"UniEconomomy","contacts","Info.DefaultBankAccountID","","null",""
"UniEconomomy","contacts","Info.DefaultContactID","","null",""
"UniEconomomy","contacts","Info.DefaultEmail.BusinessRelationID","","integer",""
"UniEconomomy","contacts","Info.DefaultEmail.CreatedAt","","string",""
"UniEconomomy","contacts","Info.DefaultEmail.CreatedBy","","string",""
"UniEconomomy","contacts","Info.DefaultEmail.Deleted","","boolean",""
"UniEconomomy","contacts","Info.DefaultEmail.Description","","null",""
"UniEconomomy","contacts","Info.DefaultEmail.EmailAddress","","string",""
"UniEconomomy","contacts","Info.DefaultEmail.ID","","integer",""
"UniEconomomy","contacts","Info.DefaultEmail.StatusCode","","null",""
"UniEconomomy","contacts","Info.DefaultEmail.Type","","null",""
"UniEconomomy","contacts","Info.DefaultEmail.UpdatedAt","","null",""
"UniEconomomy","contacts","Info.DefaultEmail.UpdatedBy","","null",""
"UniEconomomy","contacts","Info.DefaultEmailID","","integer",""
"UniEconomomy","contacts","Info.DefaultPhone.BusinessRelationID","","integer",""
"UniEconomomy","contacts","Info.DefaultPhone.CountryCode","","null",""
"UniEconomomy","contacts","Info.DefaultPhone.CreatedAt","","string",""
"UniEconomomy","contacts","Info.DefaultPhone.CreatedBy","","string",""
"UniEconomomy","contacts","Info.DefaultPhone.Deleted","","boolean",""
